lyrics,emotion
hari ini aku gembira melangkah di udara. pak pos membawa berita dari yang kudamba. sepucuk surat yang wangi warnanya pun merah hati. bagai bingkisan pertama tidak sabar kubuka. satu dua dan tiga aku mulai membaca. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku. hari ini aku gembira melangkah di udara. pak pos membawa berita dari yang kudamba. ucapan semanis madu tiga lembar rayuannya. rasanya tidak puas hati kuulangi lagi. satu dua dan tiga aku mulai membaca. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku. ucapan semanis madu tiga lembar rayuannya. rasanya tidak puas hati kuulangi lagi. satu dua dan tiga kumulai membaca. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya. surat cintaku yang pertama membikin hatiku berlomba. seperti melodi yang indah kata kata cintanya padaku,bahagia
ketika mimpimu yang begitu indah,bahagia
tidak pernah terwujud ya sudahlah,bahagia
saat kau berlari mengejar anganmu,bahagia
dan tidak pernah sampai ya sudahlah,bahagia
apapun yang terjadi aku kan selalu ada untukmu,bahagia
janganlah kau bersedih,bahagia
cause everything sih gonna be okay,bahagia
ya satu dari sekian kemungkinan,bahagia
kau jatuh tanpa ada harapan,bahagia
saat itu raga kupersembahkan,bahagia
bersama jiwa cita cinta dan harapan,bahagia
kita sambung satu persatu sebab akibat,bahagia
tapi tenanglah mata hati kita kan lihat,bahagia
menuntun ke arah mata angin bahagia,bahagia
kau dan aku tahu jalan selalu ada,bahagia
juga aku tahu lagi problema kan terus menerjang,bahagia
bagai deras ombak yang menabrak karang,bahagia
namun aku tahu aku tahu kau mampu untuk tetap tenang,bahagia
hadapi ini bersamaku hingga ajal datang,bahagia
sempat kau berharap keramahan cinta,bahagia
tidak pernah kau dapat ya sudahlah,bahagia
yeah dengar aku bernyanyi,bahagia
semua ini belum berakhir,bahagia
apapun yang terjadi aku kan selalu ada untukmu,bahagia
janganlah kau bersedih,bahagia
cause everything sih gonna be okay,bahagia
langkah yang beriring,bahagia
genggam hati rangkul emosi,bahagia
genggamlah hatiku satukan langkah kita,bahagia
sama rasa tanpa pamrih,bahagia
ini cinta across the sea,bahagia
terbanglah bersamaku melayang jauh,bahagia
come fly with me baby,bahagia
ini aku dari ujung rambut menyusur jemari,bahagia
sosok ini yang menerima kelemahan hati,bahagia
yeah aku cinta kau ini cinta kita,bahagia
cukup satu waktu yes untuk satu cinta,bahagia
satu cinta ini akan tuntun jalanku,bahagia
rapatkan jiwamu ya tenang disisiku,bahagia
rebahkan rasamu untuk yang ditunggu,bahagia
bahagia hingga ujung waktu,bahagia
apapun yang terjadi aku kan selalu ada untukmu,bahagia
janganlah kau bersedih,bahagia
cause everything sih gonna be okay,bahagia
apapun yang terjadi aku kan selalu ada untukmu,bahagia
janganlah kau bersedih,bahagia
cause everything sih gonna be okay,bahagia
apapun yang terjadi aku kan selalu ada untukmu,bahagia
janganlah kau bersedih,bahagia
cause everything sih gonna be okay,bahagia
apapun yang terjadi aku kan selalu ada untukmu,bahagia
janganlah kau bersedih,bahagia
cause everything sih gonna be okay,bahagia
ketika mimpimu yang begitu indah. tidak pernah terwujud ya sudahlah. saat kau berlari mengejar anganmu. dan tidak pernah sampai ya sudahlah. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay. ya satu dari sekian kemungkinan. kau jatuh tanpa ada harapan. saat itu raga kupersembahkan. bersama jiwa cita cinta dan harapan. kita sambung satu persatu sebab akibat. tapi tenanglah mata hati kita kan lihat. menuntun ke arah mata angin bahagia. kau dan aku tahu jalan selalu ada. juga aku tahu lagi problema kan terus menerjang. bagai deras ombak yang menabrak karang. namun aku tahu aku tahu kau mampu untuk tetap tenang. hadapi ini bersamaku hingga ajal datang. sempat kau berharap keramahan cinta. tidak pernah kau dapat ya sudahlah. yeah dengar aku bernyanyi. semua ini belum berakhir. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay. satukan langkah. langkah yang beriring. genggam hati rangkul emosi. genggamlah hatiku satukan langkah kita. sama rasa tanpa pamrih. ini cinta across the sea. peluklah diriku. terbanglah bersamaku melayang jauh. come fly with me baby . ini aku dari ujung rambut menyusur jemari. sosok ini yang menerima kelemahan hati. yeah aku cinta kau ini cinta kita . cukup satu waktu yes untuk satu cinta . satu cinta ini akan tuntun jalanku. rapatkan jiwamu ya tenang disisiku. rebahkan rasamu untuk yang ditunggu. bahagia hingga ujung waktu. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay,bahagia
aku yang lemah tanpamu,sedih
aku yang rentan karena,sedih
cinta yang telah hilang darimu,sedih
yang mampu menyanjungku,sedih
sampai jantung tidak berdetak,sedih
selama itu pun aku mampu untuk mengenangmu,sedih
darimu aku temukan hidupku,sedih
bagiku kaulah cinta sejati,sedih
bila yang tertulis untuk ku,sedih
adalah yang terbaik untukmu,sedih
kan aku jadikan kau kenangan,sedih
yang terindah dalam hidupku,sedih
namun takkan mudah bagiku,sedih
meninggalkan jejak hidupmu,sedih
yang telah terukir abadi,sedih
sebagai kenangan yang terindah,sedih
bila yang tertulis untuk ku,sedih
adalah yang terbaik untukmu,sedih
kan aku jadikan kau kenangan,sedih
yang terindah dalam hidup ku,sedih
namun takkan mudah bagi ku,sedih
meninggalkan jejak hidup mu,sedih
yang telah terukir abadi,sedih
sebagai kenangan yang terindah,sedih
bila yang tertulis untukku,sedih
adalah yang terbaik untukmu,sedih
kan aku jadikan kau kenangan,sedih
yang terindah dalam hidupku,sedih
namun takkan mudah bagiku,sedih
meninggalkan jejak hidupku,sedih
yang telah terukir abadi,sedih
sebagai kenangan yang terindah,sedih
bila yang tertulis untuk ku,sedih
adalah yang terbaik untukmu,sedih
kan aku jadikan kau kenangan,sedih
yang terindah dalam hidupku,sedih
namun takkan mudah bagiku,sedih
meninggalkan jejak hidupmu,sedih
yang telah terukir abadi,sedih
sebagai kenangan yang terindah,sedih
aku yang lemah tanpamu. aku yang rentan karena. cinta yang telah hilang darimu. yang mampu menyanjungku. selama mata terbuka. sampai jantung tidak berdetak. selama itu pun aku mampu untuk mengenangmu. darimu aku temukan hidupku. bagiku kaulah cinta sejati. bila yang tertulis untuk ku. adalah yang terbaik untukmu. kan aku jadikan kau kenangan. yang terindah dalam hidupku. namun takkan mudah bagiku. meninggalkan jejak hidupmu. yang telah terukir abadi. sebagai kenangan yang terindah. bila yang tertulis untuk ku. adalah yang terbaik untukmu. kan aku jadikan kau kenangan. yang terindah dalam hidup ku. namun takkan mudah bagi ku. meninggalkan jejak hidup mu. yang telah terukir abadi. sebagai kenangan yang terindah. bila yang tertulis untukku. adalah yang terbaik untukmu. kan aku jadikan kau kenangan. yang terindah dalam hidupku. namun takkan mudah bagiku. meninggalkan jejak hidupku. yang telah terukir abadi. sebagai kenangan yang terindah bila yang tertulis untuk ku. adalah yang terbaik untukmu. kan aku jadikan kau kenangan. yang terindah dalam hidupku. namun takkan mudah bagiku. meninggalkan jejak hidupmu. yang telah terukir abadi. sebagai kenangan yang terindah,sedih
saat bulan purnama bersinar,bahagia
terangi malamku teringat padamu,bahagia
dan kukirimkan salam tentang rasa rinduku,bahagia
bersama angin malam kusetia menunggu,bahagia
mimpikan mimpikan aku oh sayangku,bahagia
peluk erat hati ini dan jagalah selalu,bahagia
dan kan kudendangkan lagu ini untukmu,bahagia
ingatlah saat kita bersama,bahagia
kau pegang tanganku kutatap matamu,bahagia
semua terasa indah tidak seorangpun mengganggu,bahagia
bersedih dan tertawa kita tetap bersatu,bahagia
bintang benderang secerah hatiku,bahagia
yang selalu terbayang kekasihku sayang,bahagia
di setiap mimpimu aku kan selalu berdendang,bahagia
kuatkanlah dinding hati,bahagia
janji kita tidak akan pernah terbagi,bahagia
biar malam terus berganti,bahagia
yakinlah kau tetap bungaku,bahagia
genggam erat hatiku ini,bahagia
kan kuciptakan damai untukmu,bahagia
biar bulan terus berlalu,bahagia
yakinlah kau tetap bungaku,bahagia
yakinlah kau tetap milikku,bahagia
saat bulan purnama bersinar,bahagia
terangi malamku teringat padamu,bahagia
dan kukirimkan salam tentang rasa rinduku,bahagia
kuatkanlah dinding hati,bahagia
janji kita tidak akan pernah terbagi,bahagia
biar malam terus berganti,bahagia
yakinlah kau tetap bungaku,bahagia
genggam erat hatiku ini,bahagia
kan kuciptakan damai untukmu,bahagia
biar bulan terus berlalu,bahagia
yakinlah kau tetap bungaku,bahagia
yakinlah kau tetap milikku,bahagia
yakinlah yakinlah bungaku,bahagia
kuatkanlah dinding hati,bahagia
janji kita tidak akan pernah terbagi,bahagia
biar malam terus berganti,bahagia
yakinlah kau tetap bungaku,bahagia
genggam erat hatiku ini,bahagia
kan kuciptakan damai untukmu,bahagia
biar bulan terus berlalu,bahagia
yakinlah kau tetap bungaku,bahagia
yakinlah kau tetap milikku,bahagia
saat bulan purnama bersinar. terangi malamku teringat padamu. dan kukirimkan salam tentang rasa rinduku. bersama angin malam kusetia menunggu. mimpikan mimpikan aku oh sayangku. peluk erat hati ini dan jagalah selalu. dan kan kudendangkan lagu ini untukmu. dengarlah. dengarlah sayang. ingatlah saat kita bersama. kau pegang tanganku kutatap matamu. semua terasa indah tidak seorangpun mengganggu. bersedih dan tertawa kita tetap bersatu. bintang benderang secerah hatiku. yang selalu terbayang kekasihku sayang. di setiap mimpimu aku kan selalu berdendang. dengarlah. dengarlah sayang. kuatkanlah dinding hati. janji kita tidak akan pernah terbagi. biar malam terus berganti. yakinlah kau tetap bungaku. genggam erat hatiku ini. kan kuciptakan damai untukmu. biar bulan terus berlalu. yakinlah kau tetap bungaku. yakinlah kau tetap milikku. saat bulan purnama bersinar. terangi malamku teringat padamu. dan kukirimkan salam tentang rasa rinduku. dengarlah. oh dengarlah sayang. kuatkanlah dinding hati. janji kita tidak akan pernah terbagi. biar malam terus berganti. yakinlah kau tetap bungaku. genggam erat hatiku ini. kan kuciptakan damai untukmu. biar bulan terus berlalu. yakinlah kau tetap bungaku. yakinlah kau tetap milikku. yakinlah yakinlah bungaku. sayangku kuatkanlah dinding hati. janji kita tidak akan pernah terbagi. biar malam terus berganti. yakinlah kau tetap bungaku. genggam erat hatiku ini. kan kuciptakan damai untukmu. biar bulan terus berlalu. yakinlah kau tetap bungaku. yakinlah kau tetap milikku,bahagia
biar kata nenek sihir,bahagia
bagiku kau britney spears,bahagia
aku cinta kamu sayang,bahagia
biar kata mirip buaya,bahagia
aku cinta kamu sayang,bahagia
sayang ini hanya untukmu,bahagia
biar kata kau musibah,bahagia
aku cinta kamu sayang,bahagia
biar orang berkata apa,bahagia
aku cinta kamu sayang,bahagia
sayang ini hanya untukmu,bahagia
aku cinta kamu sayang,bahagia
aku cinta kamu sayang,bahagia
aku cinta kamu sayang,bahagia
aku cinta kamu sayang,bahagia
sayang ini hanya untukmu,bahagia
sayang ini hanya untukmu,bahagia
sayang ini hanya untukmu,bahagia
biar kata nenek sihir. bagiku kau britney spears. aku cinta kamu sayang. biar kata mirip buaya. bagiku luna maya. aku cinta kamu sayang. aku cinta kepadamu. sayang ini hanya untukmu. untukmu untukmu. biar kata kau musibah. bagiku kau anugerah. aku cinta kamu sayang. biar orang berkata apa. bagiku kau segalanya. aku cinta kamu sayang. aku cinta kepadamu. sayang ini hanya untukmu. untukmu untukmu. aku cinta kamu sayang. aku cinta kamu sayang. aku cinta kamu sayang. aku cinta kamu sayang. aku cinta kepadamu. sayang ini hanya untukmu. untukmu. aku cinta kepadamu. sayang ini hanya untukmu. untukmu. untukmu. untukmu aku cinta kepadamu. sayang ini hanya untukmu. untukmu untukmu,bahagia
satu bahasa jutaan makna cerita,bahagia
satu kata perkata diawal langkah pertama,bahagia
ini saatnya kita tentukan langkah baru,bahagia
bergerak maju berwarna dan berdebu,bahagia
aku disini dan engkau disana oi,bahagia
bersama coba langkahi semua bendera oi,bahagia
redam amarah mari bersuara,bahagia
bicara bahasa kita dengan banyak cinta uuu,bahagia
yea and itu goes like this,bahagia
maju bergerak hadapi semuanya,bahagia
membuka mata lebar rude boy haa lupakan luka,bahagia
karena untuk terus berada didalam garis,bahagia
kau tau pasti jadi orang harus optimis,bahagia
please tepislah egois aku tidak perlukan di sini,bahagia
hanya langkah optimis realistis,bahagia
menggores tinta dengan sentuhan klasik,bahagia
membakar jiwa dengan teknik terbaik sih mon,bahagia
woy maju tidak gentar membela yang benar,bahagia
woy pantang menyerah terus melangkah,bahagia
eiyo kawan lihat kedepan,bahagia
tunjukkan jalan bagi kita agar bertahan,bahagia
teruskan teruskan teruskan lagi,bahagia
hingga semua bermakna murni dan abadi,bahagia
bergeraklah ragaku dan lakukan sesuatu ooi,bahagia
dunia ini begitu ramai dan tidak tepat bila kau layu,bahagia
respect pantang menyerah,bahagia
woy maju tidak gentar membela yang benar,bahagia
woy pantang menyerah terus melangkah,bahagia
woy maju tidak gentar membela yang benar,bahagia
woy pantang menyerah terus melangkah,bahagia
satu bahasa jutaan makna cerita. satu kata perkata diawal langkah pertama. ini saatnya kita tentukan langkah baru. bergerak maju berwarna dan berdebu. aku disini dan engkau disana oi. bersama coba langkahi semua bendera oi. redam amarah mari bersuara. bicara bahasa kita dengan banyak cinta uuu. yea and itu goes like this. maju bergerak hadapi semuanya. membuka mata lebar rude boy haa lupakan luka. karena untuk terus berada didalam garis. kau tau pasti jadi orang harus optimis. please tepislah egois aku tidak perlukan di sini. hanya langkah optimis realistis. menggores tinta dengan sentuhan klasik. membakar jiwa dengan teknik terbaik sih mon. woy maju tidak gentar membela yang benar. tetap semangat. woy pantang menyerah terus melangkah. tetap semangat. eiyo kawan lihat kedepan. tunjukkan jalan bagi kita agar bertahan. teruskan teruskan teruskan lagi. hingga semua bermakna murni dan abadi. bergeraklah ragaku dan lakukan sesuatu ooi. dunia ini begitu ramai dan tidak tepat bila kau layu. berhasilah. respect pantang menyerah. woy maju tidak gentar membela yang benar. tetap semangat. woy pantang menyerah terus melangkah. tetap semangat woy maju tidak gentar membela yang benar. tetap semangat. woy pantang menyerah terus melangkah. tetap semangat,bahagia
waktu terasa semakin berlalu,sedih
tinggalkan cerita tentang kita,sedih
akan tiada lagi kini tawamu,sedih
untuk hapuskan semua sepi di hati,sedih
ada cerita tentang aku dan dia,sedih
dan kita bersama saat dulu kala,sedih
ada cerita tentang masa yang indah,sedih
saat kita berduka saat kita tertawa,sedih
teringat di saat kita tertawa bersama,sedih
ceritakan semua tentang kita,sedih
ada cerita tentang aku dan dia,sedih
dan kita bersama saat dulu kala,sedih
ada cerita tentang masa yang indah,sedih
saat kita berduka saat kita tertawa,sedih
ada cerita tentang aku dan dia,sedih
dan kita bersama saat dulu kala,sedih
ada cerita tentang masa yang indah,sedih
saat kita berduka saat kita tertawa,sedih
waktu terasa semakin berlalu. tinggalkan cerita tentang kita. akan tiada lagi kini tawamu. untuk hapuskan semua sepi di hati. ada cerita tentang aku dan dia. dan kita bersama saat dulu kala. ada cerita tentang masa yang indah. saat kita berduka saat kita tertawa. teringat di saat kita tertawa bersama. ceritakan semua tentang kita. ada cerita tentang aku dan dia. dan kita bersama saat dulu kala. ada cerita tentang masa yang indah. saat kita berduka saat kita tertawa ada cerita tentang aku dan dia. dan kita bersama saat dulu kala. ada cerita tentang masa yang indah. saat kita berduka saat kita tertawa,sedih
disaat kau berjalan dimuka rumahku,bahagia
tersita pandanganku hingga kuterpesona,bahagia
siapakah dirimu hatipun ingin tahu segera,bahagia
dimanakah rumahmu siapakah namamu,bahagia
kuingin berkenalan terbawa dalam mimpi,bahagia
diriku dimabuk asmara,bahagia
pada pandangan pertama,bahagia
aku cinta aku cinta dia,bahagia
pada pandangan pertama,bahagia
pada pandangan pertama,bahagia
pada landangan pertama,bahagia
pada pandangan pertama,bahagia
pada pandangan pertama,bahagia
pada pandangan pertama,bahagia
aku cinta dia fade out,bahagia
pada pandangan pertama,bahagia
aku cinta aku cinta dia,bahagia
disaat kau berjalan dimuka rumahku. penuh gaya. tersita pandanganku hingga kuterpesona. siapakah dirimu hatipun ingin tahu segera. dimanakah rumahmu siapakah namamu. sebutkanlah. kuingin berkenalan terbawa dalam mimpi. diriku dimabuk asmara. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta aku cinta dia. disaat kau berjalan. di muka rumahku. penuh gaya. tersita pandanganku. hinggaku terpesona. gayamu dan wajahmu. terbawa dalam mimpi. diriku. dimabuk asmaraaaa. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta . aku cinta dia. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia. hati yang berbunga. pada landangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia. hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta. aku cinta dia fade out hati yang berbunga. pada pandangan pertama. oh tuhan tolonglah. aku cinta aku cinta dia,bahagia
walaupun diri ini menyukaimu,bahagia
kamu seperti tidak tertarik kepadaku,bahagia
siap patah hati kesekian kalinya,bahagia
ketika kulihat di sekelilingku,bahagia
ternyata banyak sekali gadis yang cantik,bahagia
bunga yang tidak menarik tidak akan disadari,bahagia
saat aku melamun terdengar musik,bahagia
mengalun di kafetaria,bahagia
tanpa sadar kuikuti iramanya,bahagia
dan ujung jari pun mulai bergerak,bahagia
perasaanku ini tidak dapat berhenti,bahagia
come on come on come on come on baby,bahagia
yang mencinta fortune cookie,bahagia
masa depan tidak akan seburuk itu,bahagia
mengembangkan senyuman,bahagia
kan membawa keberuntungan,bahagia
fortune cookie berbentuk hati,bahagia
nasib lebih baiklah dari hari ini,bahagia
janganlah menyerah dalam menjalani hidup,bahagia
akan datang keajaiban yang tidak terduga,bahagia
aku punya firasat untuk bisa saling mencinta denganmu,bahagia
ingin ungkapkan perasaan padamu,bahagia
tetapi aku tidak percaya diri,bahagia
karena reaksimu terbayang di benakku,bahagia
meski cowok bilang gadis ideal,bahagia
yang punya kepribadian baik,bahagia
penampilan itu menguntungkan,bahagia
selalu hanya gadis cantik saja,bahagia
yang kan dipilih menjadi nomor satu,bahagia
please please please oh baby,bahagia
yang mencinta fortune cookie,bahagia
cangkang itu ayo coba pecahkan saja,bahagia
siapa pun tidak ada yang tahu,bahagia
air mata fortune cookie,bahagia
aku mohon jangan menjadi hal yang buruk,bahagia
dunia ini kan dipenuhi oleh cinta,bahagia
esok hari akan berhembus angin yang baru,bahagia
yang membuat kita terlupa akan hal yang menyedihkan,bahagia
come on come on come on come on baby,bahagia
yang mencinta fortune cookie,bahagia
masa depan tidak akan seburuk itu,bahagia
mengembangkan senyuman,bahagia
kan membawa keberuntungan,bahagia
fortune cookie berbentuk hati,bahagia
nasib lebih baiklah dari hari ini,bahagia
janganlah menyerah dalam menjalani hidup,bahagia
akan datang keajaiban yang tidak terduga,bahagia
aku punya firasat untuk bisa saling mencinta denganmu,bahagia
yang mencinta fortune cookie,bahagia
masa depan tidak akan seburuk itu,bahagia
mengembangkan senyuman,bahagia
kan membawa keberuntungan,bahagia
fortune cookie berbentuk hati,bahagia
nasib lebih baiklah dari hari ini,bahagia
janganlah menyerah dalam menjalani hidup,bahagia
akan datang keajaiban yang tidak terduga,bahagia
aku punya firasat untuk bisa saling mencinta denganmu,bahagia
walaupun diri ini menyukaimu. kamu seperti tidak tertarik kepadaku. siap patah hati kesekian kalinya. yeah yeah yeah . ketika kulihat di sekelilingku. ternyata banyak sekali gadis yang cantik. bunga yang tidak menarik tidak akan disadari. yeah yeah yeah . saat aku melamun terdengar musik. mengalun di kafetaria. tanpa sadar kuikuti iramanya. dan ujung jari pun mulai bergerak. perasaanku ini tidak dapat berhenti. come on come on come on come on baby . tolong ramalkanlah. yang mencinta fortune cookie. masa depan tidak akan seburuk itu. hey hey hey . mengembangkan senyuman. kan membawa keberuntungan. fortune cookie berbentuk hati. nasib lebih baiklah dari hari ini. hey hey hey . hey hey hey . janganlah menyerah dalam menjalani hidup. akan datang keajaiban yang tidak terduga. aku punya firasat untuk bisa saling mencinta denganmu. ingin ungkapkan perasaan padamu. tetapi aku tidak percaya diri. karena reaksimu terbayang di benakku. yeah yeah yeah . meski cowok bilang gadis ideal. yang punya kepribadian baik. penampilan itu menguntungkan. selalu hanya gadis cantik saja. yang kan dipilih menjadi nomor satu. please please please oh baby. lihatlah diriku. yang mencinta fortune cookie. cangkang itu ayo coba pecahkan saja. hey hey hey . apa yang kan terjadi. siapa pun tidak ada yang tahu. air mata fortune cookie. aku mohon jangan menjadi hal yang buruk. hey hey hey . hey hey hey . dunia ini kan dipenuhi oleh cinta. esok hari akan berhembus angin yang baru. yang membuat kita terlupa akan hal yang menyedihkan. come on come on come on come on baby . tolong ramalkanlah. yang mencinta fortune cookie. masa depan tidak akan seburuk itu. hey hey hey . mengembangkan senyuman. kan membawa keberuntungan. fortune cookie berbentuk hati. nasib lebih baiklah dari hari ini. hey hey hey . hey hey hey . janganlah menyerah dalam menjalani hidup. akan datang keajaiban yang tidak terduga. aku punya firasat untuk bisa saling mencinta denganmu yang mencinta fortune cookie. masa depan tidak akan seburuk itu. hey hey hey . mengembangkan senyuman. kan membawa keberuntungan. fortune cookie berbentuk hati. nasib lebih baiklah dari hari ini. hey hey hey . hey hey hey . janganlah menyerah dalam menjalani hidup. akan datang keajaiban yang tidak terduga. aku punya firasat untuk bisa saling mencinta denganmu,bahagia
berbagi rasa untuk selamanya,sedih
berbagi rasa sepanjang usia,sedih
cintaku yang khianat cintaku berkhianat,sedih
aku terjatuh dan tidak bisa bangkit lagi,sedih
aku tenggelam dalam lautan luka dalam,sedih
aku tersesat dan tidak tahu arah jalan pulang,sedih
aku tanpamu butiran debu,sedih
namaku cinta ketika kita bersama,sedih
berbagi rasa untuk selamanya,sedih
namaku cinta ketika kita bersama,sedih
berbagi rasa sepanjang usia,sedih
aku terjatuh dan tidak bisa bangkit lagi,sedih
aku tenggelam dalam lautan luka dalam,sedih
aku tersesat dan tidak tahu arah jalan pulang,sedih
aku tanpamu butiran debu,sedih
aku tersesat dan tidak tahu arah jalan pulang,sedih
aku tanpamu butiran debu,sedih
aku tanpamu butiran debu,sedih
aku tanpamu butiran debu,sedih
aku tanpamu butiran debu,sedih
aku terjatuh dan tidak bisa bangkit lagi,sedih
aku tenggelam dalam lautan luka dalam,sedih
aku tersesat dan tidak tahu arah jalan pulang,sedih
aku tanpamu butiran debu,sedih
namaku cinta. ketika kita bersama. berbagi rasa untuk selamanya. namaku cinta. ketika kita bersama. berbagi rasa sepanjang usia. hingga tiba saatnya. aku pun melihat. cintaku yang khianat cintaku berkhianat. aku terjatuh dan tidak bisa bangkit lagi . aku tenggelam dalam lautan luka dalam . aku tersesat dan tidak tahu arah jalan pulang. aku tanpamu butiran debu. namaku cinta ketika kita bersama . berbagi rasa untuk selamanya. namaku cinta ketika kita bersama . berbagi rasa sepanjang usia. hingga tiba saatnya. aku pun melihat. cintaku yang khianat. cintaku berkhianat. menepi. menepilah. menjauh. semua yang terjadi. antara kita. aku terjatuh dan tidak bisa bangkit lagi . aku tenggelam dalam lautan luka dalam . aku tersesat dan tidak tahu arah jalan pulang. aku tanpamu butiran debu. dalam luka dalam. aku tersesat dan tidak tahu arah jalan pulang. aku tanpamu butiran debu. aku tanpamu butiran debu. aku tanpamu butiran debu. aku tanpamu butiran debu aku terjatuh dan tidak bisa bangkit lagi . aku tenggelam dalam lautan luka dalam . aku tersesat dan tidak tahu arah jalan pulang. aku tanpamu butiran debu,sedih
terlalu lama engkau terkenang,sedih
hancurkan diri kian jauh tenggelam,sedih
lelah mencoba untuk lepaskan beban,sedih
kaubeli mimpi semu tidak berarti sendiri,sedih
tidak mampu kau beranjak pergi,sedih
jalan yang panjang nanar kautatap,sedih
tidak lagi peduli semua yang terjadi,sedih
sih makin dalam larut anganmu melayang,sedih
mimpimu hadirkan semua penantian,sedih
alunan apa ajak kau bernyanyi,sedih
akhirnya kau pun pergi tidak kembali,sedih
banyak sudah kisah yang tertinggal,sedih
kaubuat jadi satu kenangan,sedih
seorang sahabat pergi,sedih
tanpa tangis arungi mimpi,sedih
sih lamat jalan kawan cepatlah berlabuh,sedih
mimpimu kini telah kaudapati,sedih
tidak ada lagi seorang pun yang mengganggu,sedih
tiap haruku hanya sanggup mengingat,sedih
jelas bayangmu yang masih melekat,sedih
dalam kecewa aku hanya mampu katakan,sedih
tetaplah tersenyum kar nya itu jalan yang telah kaupilih,sedih
terbanglah oh terbanglah bersama pelangi,sedih
banyak sudah kisah yang tertinggal,sedih
kaubuat jadi satu kenangan,sedih
seorang sahabat pergi,sedih
tanpa tangis arungi mimpi,sedih
sih lamat jalan kawan cepatlah berlabuh,sedih
mimpimu kini telah kaudapati,sedih
tidak ada lagi seorang pun yang mengganggu,sedih
sih moga dalam damai engkau mengerti,sedih
arti dalamnya jalan yang kaudaki,sedih
hingga indahnya bias mentari,sedih
tidak lagi kaunikmati,sedih
