lyrics,emotion,lirik_clean
apapun yang terjadi aku kan selalu ada untukmu,bahagia,apa jadi aku kan selalu untuk
janganlah kau bersedih,bahagia,jangan kau sedih
cause everything sih gonna be okay,bahagia,cause everything sih gonna be okay
ya satu dari sekian kemungkinan,bahagia,satu sekian mungkin
kau jatuh tanpa ada harapan,bahagia,kau jatuh ada harap
saat itu raga kupersembahkan,bahagia,itu raga sembah
bersama jiwa cita cinta dan harapan,bahagia,sama jiwa cita cinta harap
kita sambung satu persatu sebab akibat,bahagia,sambung satu satu akibat
tapi tenanglah mata hati kita kan lihat,bahagia,tenang mata hati kan lihat
menuntun ke arah mata angin bahagia,bahagia,tuntun arah mata angin bahagia
kau dan aku tahu jalan selalu ada,bahagia,kau aku tahu jalan selalu
juga aku tahu lagi problema kan terus menerjang,bahagia,aku tahu problema kan terus terjang
bagai deras ombak yang menabrak karang,bahagia,bagai deras ombak tabrak karang
namun aku tahu aku tahu kau mampu untuk tetap tenang,bahagia,aku tahu aku tahu kau mampu tetap tenang
hadapi ini bersamaku hingga ajal datang,bahagia,hadap sama hingga ajal datang
sempat kau berharap keramahan cinta,bahagia,sempat kau harap ramah cinta
tidak pernah kau dapat ya sudahlah,bahagia,pernah kau ya sudah
yeah dengar aku bernyanyi,bahagia,yeah dengar aku nyanyi
semua ini belum berakhir,bahagia,semua belum akhir
apapun yang terjadi aku kan selalu ada untukmu,bahagia,apa jadi aku kan selalu untuk
janganlah kau bersedih,bahagia,jangan kau sedih
cause everything sih gonna be okay,bahagia,cause everything sih gonna be okay
langkah yang beriring,bahagia,langkah iring
genggam hati rangkul emosi,bahagia,genggam hati rangkul emosi
genggamlah hatiku satukan langkah kita,bahagia,genggam hati satu langkah
sama rasa tanpa pamrih,bahagia,sama rasa pamrih
ini cinta across the sea,bahagia,cinta across the sea
terbanglah bersamaku melayang jauh,bahagia,terbang sama layang jauh
come fly with me baby,bahagia,come fly with me baby
ini aku dari ujung rambut menyusur jemari,bahagia,aku ujung rambut susur jemari
sosok ini yang menerima kelemahan hati,bahagia,sosok yang terima lemah hati
yeah aku cinta kau ini cinta kita,bahagia,yeah aku cinta kau cinta
cukup satu waktu yes untuk satu cinta,bahagia,cukup satu waktu yes satu cinta
satu cinta ini akan tuntun jalanku,bahagia,satu cinta akan tuntun jalan
rapatkan jiwamu ya tenang disisiku,bahagia,rapat jiwa tenang sis
rebahkan rasamu untuk yang ditunggu,bahagia,rebah rasa yang tunggu
bahagia hingga ujung waktu,bahagia,bahagia hingga ujung waktu
apapun yang terjadi aku kan selalu ada untukmu,bahagia,apa jadi aku kan selalu untuk
janganlah kau bersedih,bahagia,jangan kau sedih
cause everything sih gonna be okay,bahagia,cause everything sih gonna be okay
apapun yang terjadi aku kan selalu ada untukmu,bahagia,apa jadi aku kan selalu untuk
janganlah kau bersedih,bahagia,jangan kau sedih
cause everything sih gonna be okay,bahagia,cause everything sih gonna be okay
apapun yang terjadi aku kan selalu ada untukmu,bahagia,apa jadi aku kan selalu untuk
janganlah kau bersedih,bahagia,jangan kau sedih
cause everything sih gonna be okay,bahagia,cause everything sih gonna be okay
apapun yang terjadi aku kan selalu ada untukmu,bahagia,apa jadi aku kan selalu untuk
janganlah kau bersedih,bahagia,jangan kau sedih
cause everything sih gonna be okay,bahagia,cause everything sih gonna be okay
ketika mimpimu yang begitu indah. tidak pernah terwujud ya sudahlah. saat kau berlari mengejar anganmu. dan tidak pernah sampai ya sudahlah. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay. ya satu dari sekian kemungkinan. kau jatuh tanpa ada harapan. saat itu raga kupersembahkan. bersama jiwa cita cinta dan harapan. kita sambung satu persatu sebab akibat. tapi tenanglah mata hati kita kan lihat. menuntun ke arah mata angin bahagia. kau dan aku tahu jalan selalu ada. juga aku tahu lagi problema kan terus menerjang. bagai deras ombak yang menabrak karang. namun aku tahu aku tahu kau mampu untuk tetap tenang. hadapi ini bersamaku hingga ajal datang. sempat kau berharap keramahan cinta. tidak pernah kau dapat ya sudahlah. yeah dengar aku bernyanyi. semua ini belum berakhir. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay. satukan langkah. langkah yang beriring. genggam hati rangkul emosi. genggamlah hatiku satukan langkah kita. sama rasa tanpa pamrih. ini cinta across the sea. peluklah diriku. terbanglah bersamaku melayang jauh. come fly with me baby . ini aku dari ujung rambut menyusur jemari. sosok ini yang menerima kelemahan hati. yeah aku cinta kau ini cinta kita . cukup satu waktu yes untuk satu cinta . satu cinta ini akan tuntun jalanku. rapatkan jiwamu ya tenang disisiku. rebahkan rasamu untuk yang ditunggu. bahagia hingga ujung waktu. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay. apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay apapun yang terjadi aku kan selalu ada untukmu. janganlah kau bersedih. cause everything sih gonna be okay,bahagia,mimpi begitu indah pernah wujud sudah kau lari kejar angan pernah sudah apa jadi aku kan selalu untuk jangan kau sedih cause everything sih gonna be okay satu sekian mungkin kau jatuh harap itu raga sembah sama jiwa cita cinta harap sambung satu satu akibat tenang mata hati kan lihat tuntun arah mata angin bahagia kau aku tahu jalan selalu juga aku tahu problema kan terus terjang bagai deras ombak tabrak karang aku tahu aku tahu kau mampu tetap tenang hadap sama hingga ajal datang sempat kau harap ramah cinta tidak pernah kau ya sudah yeah dengar aku nyanyi semua belum akhir apa jadi aku kan selalu untuk jangan kau sedih cause everything sih gonna be okay satu langkah langkah iring genggam hati rangkul emosi genggam hati satu langkah sama rasa pamrih cinta across the sea peluk diri terbang sama layang jauh come fly with me baby aku ujung rambut susur jemari sosok terima lemah hati yeah aku cinta kau cinta cukup satu waktu yes satu cinta satu cinta akan tuntun jalan rapat jiwa ya tenang sis rebah rasa tunggu bahagia hingga ujung waktu apa jadi aku kan selalu untuk jangan kau sedih cause everything sih gonna be okay apa jadi aku kan selalu untuk jangan kau sedih cause everything sih gonna be okay apa yang jadi aku kan selalu untuk jangan kau sedih cause everything sih gonna be okay apa yang jadi aku kan selalu ada untuk jangan kau sedih cause everything sih gonna be okay
aku yang lemah tanpamu,sedih,aku lemah tanpa
aku yang rentan karena,sedih,aku rentan
cinta yang telah hilang darimu,sedih,cinta telah hilang dari
yang mampu menyanjungku,sedih,mampu sanjung
sampai jantung tidak berdetak,sedih,jantung detak
selama itu pun aku mampu untuk mengenangmu,sedih,lama pun aku mampu kenang
darimu aku temukan hidupku,sedih,dari aku temu hidup
bagiku kaulah cinta sejati,sedih,bagi kau cinta sejati
bila yang tertulis untuk ku,sedih,bila tulis ku
adalah yang terbaik untukmu,sedih,yang baik untuk
kan aku jadikan kau kenangan,sedih,kan aku jadi kau kenang
yang terindah dalam hidupku,sedih,indah hidup
namun takkan mudah bagiku,sedih,tak mudah bagi
meninggalkan jejak hidupmu,sedih,tinggal jejak hidup
yang telah terukir abadi,sedih,telah ukir abadi
sebagai kenangan yang terindah,sedih,kenang indah
bila yang tertulis untuk ku,sedih,bila tulis ku
adalah yang terbaik untukmu,sedih,yang baik untuk
kan aku jadikan kau kenangan,sedih,kan aku jadi kau kenang
yang terindah dalam hidup ku,sedih,indah hidup ku
namun takkan mudah bagi ku,sedih,tak mudah ku
meninggalkan jejak hidup mu,sedih,tinggal jejak hidup mu
yang telah terukir abadi,sedih,telah ukir abadi
sebagai kenangan yang terindah,sedih,kenang indah
bila yang tertulis untukku,sedih,bila tulis untuk
adalah yang terbaik untukmu,sedih,yang baik untuk
kan aku jadikan kau kenangan,sedih,kan aku jadi kau kenang
yang terindah dalam hidupku,sedih,indah hidup
namun takkan mudah bagiku,sedih,tak mudah bagi
meninggalkan jejak hidupku,sedih,tinggal jejak hidup
yang telah terukir abadi,sedih,telah ukir abadi
sebagai kenangan yang terindah,sedih,kenang indah
bila yang tertulis untuk ku,sedih,bila tulis ku
adalah yang terbaik untukmu,sedih,yang baik untuk
kan aku jadikan kau kenangan,sedih,kan aku jadi kau kenang
yang terindah dalam hidupku,sedih,indah hidup
namun takkan mudah bagiku,sedih,tak mudah bagi
meninggalkan jejak hidupmu,sedih,tinggal jejak hidup
yang telah terukir abadi,sedih,telah ukir abadi
sebagai kenangan yang terindah,sedih,kenang indah
aku yang lemah tanpamu. aku yang rentan karena. cinta yang telah hilang darimu. yang mampu menyanjungku. selama mata terbuka. sampai jantung tidak berdetak. selama itu pun aku mampu untuk mengenangmu. darimu aku temukan hidupku. bagiku kaulah cinta sejati. bila yang tertulis untuk ku. adalah yang terbaik untukmu. kan aku jadikan kau kenangan. yang terindah dalam hidupku. namun takkan mudah bagiku. meninggalkan jejak hidupmu. yang telah terukir abadi. sebagai kenangan yang terindah. bila yang tertulis untuk ku. adalah yang terbaik untukmu. kan aku jadikan kau kenangan. yang terindah dalam hidup ku. namun takkan mudah bagi ku. meninggalkan jejak hidup mu. yang telah terukir abadi. sebagai kenangan yang terindah. bila yang tertulis untukku. adalah yang terbaik untukmu. kan aku jadikan kau kenangan. yang terindah dalam hidupku. namun takkan mudah bagiku. meninggalkan jejak hidupku. yang telah terukir abadi. sebagai kenangan yang terindah bila yang tertulis untuk ku. adalah yang terbaik untukmu. kan aku jadikan kau kenangan. yang terindah dalam hidupku. namun takkan mudah bagiku. meninggalkan jejak hidupmu. yang telah terukir abadi. sebagai kenangan yang terindah,sedih,aku lemah tanpa aku rentan cinta telah hilang dari mampu sanjung lama mata buka jantung detak lama pun aku mampu kenang dari aku temu hidup bagi kau cinta sejati bila tulis ku baik untuk kan aku jadi kau kenang indah hidup tak mudah bagi tinggal jejak hidup telah ukir abadi kenang indah bila tulis ku baik untuk kan aku jadi kau kenang indah hidup ku tak mudah ku tinggal jejak hidup mu telah ukir abadi kenang indah bila tulis untuk baik untuk kan aku jadi kau kenang indah hidup tak mudah bagi tinggal jejak hidup telah ukir abadi kenang indah bila tulis ku yang baik untuk kan aku jadi kau kenang yang indah hidup tak mudah bagi tinggal jejak hidup yang telah ukir abadi kenang yang indah
saat bulan purnama bersinar,bahagia,bulan purnama sinar
terangi malamku teringat padamu,bahagia,rang malam ingat pada
dan kukirimkan salam tentang rasa rinduku,bahagia,kirim salam rasa rindu
bersama angin malam kusetia menunggu,bahagia,sama angin malam setia tunggu
mimpikan mimpikan aku oh sayangku,bahagia,mimpi mimpi aku sayang
peluk erat hati ini dan jagalah selalu,bahagia,peluk erat hati dan jaga selalu
dan kan kudendangkan lagu ini untukmu,bahagia,kan dendang lagu untuk
ingatlah saat kita bersama,bahagia,ingat kita sama
kau pegang tanganku kutatap matamu,bahagia,kau pegang tangan tatap mata
semua terasa indah tidak seorangpun mengganggu,bahagia,semua asa indah orang ganggu
bersedih dan tertawa kita tetap bersatu,bahagia,sedih tertawa tetap satu
bintang benderang secerah hatiku,bahagia,bintang benderang cerah hati
yang selalu terbayang kekasihku sayang,bahagia,selalu bayang kasih sayang
di setiap mimpimu aku kan selalu berdendang,bahagia,tiap mimpi aku kan selalu dendang
kuatkanlah dinding hati,bahagia,kuat dinding hati
janji kita tidak akan pernah terbagi,bahagia,janji tidak pernah bagi
biar malam terus berganti,bahagia,biar malam terus ganti
yakinlah kau tetap bungaku,bahagia,yakin kau tetap bunga
genggam erat hatiku ini,bahagia,genggam erat hati
kan kuciptakan damai untukmu,bahagia,kan cipta damai untuk
biar bulan terus berlalu,bahagia,biar bulan terus lalu
yakinlah kau tetap bungaku,bahagia,yakin kau tetap bunga
yakinlah kau tetap milikku,bahagia,yakin kau tetap milik
saat bulan purnama bersinar,bahagia,bulan purnama sinar
terangi malamku teringat padamu,bahagia,rang malam ingat pada
dan kukirimkan salam tentang rasa rinduku,bahagia,kirim salam rasa rindu
kuatkanlah dinding hati,bahagia,kuat dinding hati
janji kita tidak akan pernah terbagi,bahagia,janji tidak pernah bagi
biar malam terus berganti,bahagia,biar malam terus ganti
yakinlah kau tetap bungaku,bahagia,yakin kau tetap bunga
genggam erat hatiku ini,bahagia,genggam erat hati
kan kuciptakan damai untukmu,bahagia,kan cipta damai untuk
biar bulan terus berlalu,bahagia,biar bulan terus lalu
yakinlah kau tetap bungaku,bahagia,yakin kau tetap bunga
yakinlah kau tetap milikku,bahagia,yakin kau tetap milik
yakinlah yakinlah bungaku,bahagia,yakin yakin bunga
kuatkanlah dinding hati,bahagia,kuat dinding hati
janji kita tidak akan pernah terbagi,bahagia,janji tidak pernah bagi
biar malam terus berganti,bahagia,biar malam terus ganti
yakinlah kau tetap bungaku,bahagia,yakin kau tetap bunga
genggam erat hatiku ini,bahagia,genggam erat hati
kan kuciptakan damai untukmu,bahagia,kan cipta damai untuk
biar bulan terus berlalu,bahagia,biar bulan terus lalu
yakinlah kau tetap bungaku,bahagia,yakin kau tetap bunga
yakinlah kau tetap milikku,bahagia,yakin kau tetap milik
saat bulan purnama bersinar. terangi malamku teringat padamu. dan kukirimkan salam tentang rasa rinduku. bersama angin malam kusetia menunggu. mimpikan mimpikan aku oh sayangku. peluk erat hati ini dan jagalah selalu. dan kan kudendangkan lagu ini untukmu. dengarlah. dengarlah sayang. ingatlah saat kita bersama. kau pegang tanganku kutatap matamu. semua terasa indah tidak seorangpun mengganggu. bersedih dan tertawa kita tetap bersatu. bintang benderang secerah hatiku. yang selalu terbayang kekasihku sayang. di setiap mimpimu aku kan selalu berdendang. dengarlah. dengarlah sayang. kuatkanlah dinding hati. janji kita tidak akan pernah terbagi. biar malam terus berganti. yakinlah kau tetap bungaku. genggam erat hatiku ini. kan kuciptakan damai untukmu. biar bulan terus berlalu. yakinlah kau tetap bungaku. yakinlah kau tetap milikku. saat bulan purnama bersinar. terangi malamku teringat padamu. dan kukirimkan salam tentang rasa rinduku. dengarlah. oh dengarlah sayang. kuatkanlah dinding hati. janji kita tidak akan pernah terbagi. biar malam terus berganti. yakinlah kau tetap bungaku. genggam erat hatiku ini. kan kuciptakan damai untukmu. biar bulan terus berlalu. yakinlah kau tetap bungaku. yakinlah kau tetap milikku. yakinlah yakinlah bungaku. sayangku kuatkanlah dinding hati. janji kita tidak akan pernah terbagi. biar malam terus berganti. yakinlah kau tetap bungaku. genggam erat hatiku ini. kan kuciptakan damai untukmu. biar bulan terus berlalu. yakinlah kau tetap bungaku. yakinlah kau tetap milikku,bahagia,bulan purnama sinar rang malam ingat pada kirim salam rasa rindu sama angin malam setia tunggu mimpi mimpi aku sayang peluk erat hati jaga selalu kan dendang lagu untuk dengar dengar sayang ingat sama kau pegang tangan tatap mata semua asa indah orang ganggu sedih tertawa tetap satu bintang benderang cerah hati selalu bayang kasih sayang tiap mimpi aku kan selalu dendang dengar dengar sayang kuat dinding hati janji tidak pernah bagi biar malam terus ganti yakin kau tetap bunga genggam erat hati kan cipta damai untuk biar bulan terus lalu yakin kau tetap bunga yakin kau tetap milik bulan purnama sinar rang malam ingat pada dan kirim salam rasa rindu dengar dengar sayang kuat dinding hati janji tidak pernah bagi biar malam terus ganti yakin kau tetap bunga genggam erat hati kan cipta damai untuk biar bulan terus lalu yakin kau tetap bunga yakin kau tetap milik yakin yakin bunga sayang kuat dinding hati janji kita tidak pernah bagi biar malam terus ganti yakin kau tetap bunga genggam erat hati kan cipta damai untuk biar bulan terus lalu yakin kau tetap bunga yakin kau tetap milik
biar kata nenek sihir,bahagia,biar kata nenek sihir
bagiku kau britney spears,bahagia,bagi kau britney spears
aku cinta kamu sayang,bahagia,aku cinta kamu sayang
biar kata mirip buaya,bahagia,biar kata mirip buaya
aku cinta kamu sayang,bahagia,aku cinta kamu sayang
sayang ini hanya untukmu,bahagia,sayang hanya untuk
biar kata kau musibah,bahagia,biar kata kau musibah
aku cinta kamu sayang,bahagia,aku cinta kamu sayang
biar orang berkata apa,bahagia,biar orang kata apa
aku cinta kamu sayang,bahagia,aku cinta kamu sayang
sayang ini hanya untukmu,bahagia,sayang hanya untuk
aku cinta kamu sayang,bahagia,aku cinta kamu sayang
aku cinta kamu sayang,bahagia,aku cinta kamu sayang
aku cinta kamu sayang,bahagia,aku cinta kamu sayang
aku cinta kamu sayang,bahagia,aku cinta kamu sayang
sayang ini hanya untukmu,bahagia,sayang hanya untuk
sayang ini hanya untukmu,bahagia,sayang hanya untuk
sayang ini hanya untukmu,bahagia,sayang hanya untuk
biar kata nenek sihir. bagiku kau britney spears. aku cinta kamu sayang. biar kata mirip buaya. bagiku luna maya. aku cinta kamu sayang. aku cinta kepadamu. sayang ini hanya untukmu. untukmu untukmu. biar kata kau musibah. bagiku kau anugerah. aku cinta kamu sayang. biar orang berkata apa. bagiku kau segalanya. aku cinta kamu sayang. aku cinta kepadamu. sayang ini hanya untukmu. untukmu untukmu. aku cinta kamu sayang. aku cinta kamu sayang. aku cinta kamu sayang. aku cinta kamu sayang. aku cinta kepadamu. sayang ini hanya untukmu. untukmu. aku cinta kepadamu. sayang ini hanya untukmu. untukmu. untukmu. untukmu aku cinta kepadamu. sayang ini hanya untukmu. untukmu untukmu,bahagia,biar kata nenek sihir bagi kau britney spears aku cinta kamu sayang biar kata mirip buaya bagi luna maya aku cinta kamu sayang aku cinta kepada sayang hanya untuk untuk untuk biar kata kau musibah bagi kau anugerah aku cinta kamu sayang biar orang kata apa bagi kau segala aku cinta kamu sayang aku cinta kepada sayang hanya untuk untuk untuk aku cinta kamu sayang aku cinta kamu sayang aku cinta kamu sayang aku cinta kamu sayang aku cinta kepada sayang hanya untuk untuk aku cinta kepada sayang hanya untuk untuk untuk untuk aku cinta kepada sayang hanya untuk untuk untuk
satu bahasa jutaan makna cerita,bahagia,satu bahasa juta makna cerita
satu kata perkata diawal langkah pertama,bahagia,satu kata kata awal langkah pertama
ini saatnya kita tentukan langkah baru,bahagia,saat tentu langkah baru
bergerak maju berwarna dan berdebu,bahagia,gerak maju warna debu
aku disini dan engkau disana oi,bahagia,aku sini engkau sana oi
bersama coba langkahi semua bendera oi,bahagia,sama coba langkah semua bendera oi
redam amarah mari bersuara,bahagia,redam amarah suara
bicara bahasa kita dengan banyak cinta uuu,bahagia,bicara bahasa dengan banyak cinta uuu
yea and itu goes like this,bahagia,yea and goes like this
maju bergerak hadapi semuanya,bahagia,maju gerak hadap semua
membuka mata lebar rude boy haa lupakan luka,bahagia,buka mata lebar rude boy haa lupa luka
karena untuk terus berada didalam garis,bahagia,untuk terus ada dalam garis
kau tau pasti jadi orang harus optimis,bahagia,kau tau jadi orang optimis
please tepislah egois aku tidak perlukan di sini,bahagia,please tepis egois aku perlu sini
hanya langkah optimis realistis,bahagia,langkah optimis realistis
menggores tinta dengan sentuhan klasik,bahagia,gores tinta sentuh klasik
membakar jiwa dengan teknik terbaik sih mon,bahagia,bakar jiwa teknik baik sih mon
woy maju tidak gentar membela yang benar,bahagia,woy maju gentar bela benar
woy pantang menyerah terus melangkah,bahagia,woy pantang serah terus lang
eiyo kawan lihat kedepan,bahagia,eiyo kawan lihat depan
tunjukkan jalan bagi kita agar bertahan,bahagia,tunjuk jalan kita tahan
teruskan teruskan teruskan lagi,bahagia,terus terus terus
hingga semua bermakna murni dan abadi,bahagia,hingga semua makna murni abadi
bergeraklah ragaku dan lakukan sesuatu ooi,bahagia,gerak raga laku ooi
dunia ini begitu ramai dan tidak tepat bila kau layu,bahagia,dunia begitu ramai tidak tepat bila kau layu
respect pantang menyerah,bahagia,respect pantang serah
woy maju tidak gentar membela yang benar,bahagia,woy maju gentar bela benar
woy pantang menyerah terus melangkah,bahagia,woy pantang serah terus lang
woy maju tidak gentar membela yang benar,bahagia,woy maju gentar bela benar
woy pantang menyerah terus melangkah,bahagia,woy pantang serah terus lang
satu bahasa jutaan makna cerita. satu kata perkata diawal langkah pertama. ini saatnya kita tentukan langkah baru. bergerak maju berwarna dan berdebu. aku disini dan engkau disana oi. bersama coba langkahi semua bendera oi. redam amarah mari bersuara. bicara bahasa kita dengan banyak cinta uuu. yea and itu goes like this. maju bergerak hadapi semuanya. membuka mata lebar rude boy haa lupakan luka. karena untuk terus berada didalam garis. kau tau pasti jadi orang harus optimis. please tepislah egois aku tidak perlukan di sini. hanya langkah optimis realistis. menggores tinta dengan sentuhan klasik. membakar jiwa dengan teknik terbaik sih mon. woy maju tidak gentar membela yang benar. tetap semangat. woy pantang menyerah terus melangkah. tetap semangat. eiyo kawan lihat kedepan. tunjukkan jalan bagi kita agar bertahan. teruskan teruskan teruskan lagi. hingga semua bermakna murni dan abadi. bergeraklah ragaku dan lakukan sesuatu ooi. dunia ini begitu ramai dan tidak tepat bila kau layu. berhasilah. respect pantang menyerah. woy maju tidak gentar membela yang benar. tetap semangat. woy pantang menyerah terus melangkah. tetap semangat woy maju tidak gentar membela yang benar. tetap semangat. woy pantang menyerah terus melangkah. tetap semangat,bahagia,satu bahasa juta makna cerita satu kata kata awal langkah pertama saat tentu langkah baru gerak maju warna debu aku sini engkau sana oi sama coba langkah semua bendera oi redam amarah suara bicara bahasa banyak cinta uuu yea and goes like this maju gerak hadap semua buka mata lebar rude boy haa lupa luka untuk terus ada dalam garis kau tau jadi orang optimis please tepis egois aku perlu sini langkah optimis realistis gores tinta sentuh klasik bakar jiwa dengan teknik baik sih mon woy maju gentar bela benar tetap semangat woy pantang serah terus lang tetap semangat eiyo kawan lihat depan tunjuk jalan kita tahan terus terus terus hingga semua makna murni abadi gerak raga laku ooi dunia begitu ramai tepat bila kau layu has respect pantang serah woy maju gentar bela benar tetap semangat woy pantang serah terus lang tetap semangat woy maju tidak gentar bela benar tetap semangat woy pantang serah terus lang tetap semangat
waktu terasa semakin berlalu,sedih,waktu asa makin lalu
tinggalkan cerita tentang kita,sedih,tinggal cerita kita
akan tiada lagi kini tawamu,sedih,tiada kini tawa
untuk hapuskan semua sepi di hati,sedih,hapus semua sepi hati
ada cerita tentang aku dan dia,sedih,cerita aku dia
dan kita bersama saat dulu kala,sedih,kita sama dulu kala
ada cerita tentang masa yang indah,sedih,cerita masa indah
saat kita berduka saat kita tertawa,sedih,kita duka kita tertawa
teringat di saat kita tertawa bersama,sedih,ingat saat tertawa sama
ceritakan semua tentang kita,sedih,cerita semua kita
